step,idx,k,k1
1,1,-56,44
1,2,-56,43
1,3,45,55
1,4,-45,83
1,5,-45,82
1,6,-45,84
1,7,-45,83
1,8,-55,46
1,9,-55,45
1,10,-84,46
1,11,-84,45
1,12,-55,47
1,13,-55,46
1,14,-35,93
1,15,-94,36
1,16,-94,35
1,17,-94,37
1,18,-94,36
1,19,-95,37
1,20,-95,36
1,21,38,94
1,22,-38,95
1,23,-38,94
1,24,-38,96
1,25,-38,95
1,26,39,93
1,27,-108,40
1,28,-107,41
1,29,-107,40
1,30,-42,106
1,31,-42,105
1,32,-39,153
1,33,-152,40
1,34,-40,153
1,35,-40,152
1,36,42,162
1,37,43,161
1,38,-43,172
1,39,-172,44
1,40,-172,43
1,41,59,90
1,42,60,89
1,43,-60,96
1,44,-60,95
1,45,-60,97
1,46,-60,96
1,47,-89,61
1,48,-89,60
1,49,-97,61
1,50,-97,60
1,51,-89,62
1,52,-89,61
1,53,-124,57
1,54,57,125
1,55,-134,57
1,56,-58,133
1,57,58,144
1,58,59,143
1,59,56,172
1,60,-57,170
1,61,-57,169
1,62,57,171
1,63,90,143
1,64,91,142
1,65,92,154
1,66,-93,153
1,67,104,117
1,68,105,116
1,69,108,152
1,70,109,151
1,71,-105,162
1,72,-162,106
1,73,-162,105
1,74,115,159
1,75,-116,162
1,76,123,135
1,77,124,134
1,78,-125,170
1,79,-125,169
1,80,125,171
1,81,-169,126
1,82,-169,125
1,83,127,168
1,84,-133,140
1,85,-133,145
1,86,-144,133
1,87,133,145
1,88,160,167
1,89,-161,172
2,1,-56,44
2,2,-56,43
2,3,45,55
2,4,-45,83
2,5,-45,82
2,6,-45,84
2,7,-45,83
2,8,-55,46
2,9,-55,45
2,10,-84,46
2,11,-84,45
2,12,-55,47
2,13,-55,46
2,14,-35,93
2,15,-94,36
2,16,-94,35
2,17,-94,37
2,18,-94,36
2,19,-95,37
2,20,-95,36
2,21,38,94
2,22,-38,95
2,23,-38,94
2,24,-38,96
2,25,-38,95
2,26,39,93
2,27,-108,40
2,28,-107,41
2,29,-107,40
2,30,-42,106
2,31,-42,105
2,32,-39,153
2,33,-152,40
2,34,-40,153
2,35,-40,152
2,36,42,162
2,37,43,161
2,38,-43,172
2,39,-172,44
2,40,-172,43
2,41,59,90
2,42,60,89
2,43,-60,96
2,44,-60,95
2,45,-60,97
2,46,-60,96
2,47,-89,61
2,48,-89,60
2,49,-97,61
2,50,-97,60
2,51,-89,62
2,52,-89,61
2,53,-124,57
2,54,57,125
2,55,-134,57
2,56,-58,133
2,57,58,144
2,58,59,143
2,59,56,172
2,60,-57,170
2,61,-57,169
2,62,57,171
2,63,90,143
2,64,91,142
2,65,92,154
2,66,-93,153
2,67,104,117
2,68,105,116
2,69,108,152
2,70,109,151
2,71,-105,162
2,72,-162,106
2,73,-162,105
2,74,115,159
2,75,-116,162
2,76,123,135
2,77,124,134
2,78,-125,170
2,79,-125,169
2,80,125,171
2,81,-169,126
2,82,-169,125
2,83,127,168
2,84,-133,140
2,85,-133,145
2,86,-144,133
2,87,133,145
2,88,160,167
2,89,-161,172
3,1,-56,44
3,2,-56,43
3,3,45,55
3,4,-45,83
3,5,-45,82
3,6,-45,84
3,7,-45,83
3,8,-55,46
3,9,-55,45
3,10,-84,46
3,11,-84,45
3,12,-55,47
3,13,-55,46
3,14,-35,93
3,15,-94,36
3,16,-94,35
3,17,-94,37
3,18,-94,36
3,19,-95,37
3,20,-95,36
3,21,38,94
3,22,-38,95
3,23,-38,94
3,24,-38,96
3,25,-38,95
3,26,39,93
3,27,-108,40
3,28,-107,41
3,29,-107,40
3,30,-42,106
3,31,-42,105
3,32,-39,153
3,33,-152,40
3,34,-40,153
3,35,-40,152
3,36,42,162
3,37,43,161
3,38,-43,172
3,39,-172,44
3,40,-172,43
3,41,59,90
3,42,60,89
3,43,-60,96
3,44,-60,95
3,45,-60,97
3,46,-60,96
3,47,-89,61
3,48,-89,60
3,49,-97,61
3,50,-97,60
3,51,-89,62
3,52,-89,61
3,53,-124,57
3,54,57,125
3,55,-134,57
3,56,-58,133
3,57,58,144
3,58,59,143
3,59,56,172
3,60,-57,170
3,61,-57,169
3,62,57,171
3,63,90,143
3,64,91,142
3,65,92,154
3,66,-93,153
3,67,104,117
3,68,105,116
3,69,108,152
3,70,109,151
3,71,-105,162
3,72,-162,106
3,73,-162,105
3,74,115,159
3,75,-116,162
3,76,123,135
3,77,124,134
3,78,-125,170
3,79,-125,169
3,80,125,171
3,81,-169,126
3,82,-169,125
3,83,127,168
3,84,-133,140
3,85,-133,145
3,86,-144,133
3,87,133,145
3,88,160,167
3,89,-161,172
4,1,-56,44
4,2,-56,43
4,3,45,55
4,4,-45,83
4,5,-45,82
4,6,-45,84
4,7,-45,83
4,8,-55,46
4,9,-55,45
4,10,-84,46
4,11,-84,45
4,12,-55,47
4,13,-55,46
4,14,-35,93
4,15,-94,36
4,16,-94,35
4,17,-94,37
4,18,-94,36
4,19,-95,37
4,20,-95,36
4,21,38,94
4,22,-38,95
4,23,-38,94
4,24,-38,96
4,25,-38,95
4,26,39,93
4,27,-108,40
4,28,-107,41
4,29,-107,40
4,30,-42,106
4,31,-42,105
4,32,-39,153
4,33,-152,40
4,34,-40,153
4,35,-40,152
4,36,42,162
4,37,43,161
4,38,-43,172
4,39,-172,44
4,40,-172,43
4,41,59,90
4,42,60,89
4,43,-60,96
4,44,-60,95
4,45,-60,97
4,46,-60,96
4,47,-89,61
4,48,-89,60
4,49,-97,61
4,50,-97,60
4,51,-89,62
4,52,-89,61
4,53,-124,57
4,54,57,125
4,55,-134,57
4,56,-58,133
4,57,58,144
4,58,59,143
4,59,56,172
4,60,-57,170
4,61,-57,169
4,62,57,171
4,63,90,143
4,64,91,142
4,65,92,154
4,66,-93,153
4,67,104,117
4,68,105,116
4,69,108,152
4,70,109,151
4,71,-105,162
4,72,-162,106
4,73,-162,105
4,74,115,159
4,75,-116,162
4,76,123,135
4,77,124,134
4,78,-125,170
4,79,-125,169
4,80,125,171
4,81,-169,126
4,82,-169,125
4,83,127,168
4,84,-133,140
4,85,-133,145
4,86,-144,133
4,87,133,145
4,88,160,167
4,89,-161,172
5,1,-56,44
5,2,-56,43
5,3,45,55
5,4,-45,83
5,5,-45,82
5,6,-45,84
5,7,-45,83
5,8,-55,46
5,9,-55,45
5,10,-84,46
5,11,-84,45
5,12,-55,47
5,13,-55,46
5,14,-35,93
5,15,-94,36
5,16,-94,35
5,17,-94,37
5,18,-94,36
5,19,-95,37
5,20,-95,36
5,21,38,94
5,22,-38,95
5,23,-38,94
5,24,-38,96
5,25,-38,95
5,26,39,93
5,27,-108,40
5,28,-107,41
5,29,-107,40
5,30,-42,106
5,31,-42,105
5,32,-39,153
5,33,-152,40
5,34,-40,153
5,35,-40,152
5,36,42,162
5,37,43,161
5,38,-43,172
5,39,-172,44
5,40,-172,43
5,41,59,90
5,42,60,89
5,43,-60,96
5,44,-60,95
5,45,-60,97
5,46,-60,96
5,47,-89,61
5,48,-89,60
5,49,-97,61
5,50,-97,60
5,51,-89,62
5,52,-89,61
5,53,-124,57
5,54,57,125
5,55,-134,57
5,56,-58,133
5,57,58,144
5,58,59,143
5,59,56,172
5,60,-57,170
5,61,-57,169
5,62,57,171
5,63,90,143
5,64,91,142
5,65,92,154
5,66,-93,153
5,67,104,117
5,68,105,116
5,69,108,152
5,70,109,151
5,71,-105,162
5,72,-162,106
5,73,-162,105
5,74,115,159
5,75,-116,162
5,76,123,135
5,77,124,134
5,78,-125,170
5,79,-125,169
5,80,125,171
5,81,-169,126
5,82,-169,125
5,83,127,168
5,84,-133,140
5,85,-133,145
5,86,-144,133
5,87,133,145
5,88,160,167
5,89,-161,172
6,1,-56,44
6,2,-56,43
6,3,45,55
6,4,-45,83
6,5,-45,82
6,6,-45,84
6,7,-45,83
6,8,-55,46
6,9,-55,45
6,10,-84,46
6,11,-84,45
6,12,-55,47
6,13,-55,46
6,14,-35,93
6,15,-94,36
6,16,-94,35
6,17,-94,37
6,18,-94,36
6,19,-95,37
6,20,-95,36
6,21,38,94
6,22,-38,95
6,23,-38,94
6,24,-38,96
6,25,-38,95
6,26,39,93
6,27,-108,40
6,28,-107,41
6,29,-107,40
6,30,-42,106
6,31,-42,105
6,32,-39,153
6,33,-152,40
6,34,-40,153
6,35,-40,152
6,36,42,162
6,37,43,161
6,38,-43,172
6,39,-172,44
6,40,-172,43
6,41,59,90
6,42,60,89
6,43,-60,96
6,44,-60,95
6,45,-60,97
6,46,-60,96
6,47,-89,61
6,48,-89,60
6,49,-97,61
6,50,-97,60
6,51,-89,62
6,52,-89,61
6,53,-124,57
6,54,57,125
6,55,-134,57
6,56,-58,133
6,57,58,144
6,58,59,143
6,59,56,172
6,60,-57,170
6,61,-57,169
6,62,57,171
6,63,90,143
6,64,91,142
6,65,92,154
6,66,-93,153
6,67,104,117
6,68,105,116
6,69,108,152
6,70,109,151
6,71,-105,162
6,72,-162,106
6,73,-162,105
6,74,115,159
6,75,-116,162
6,76,123,135
6,77,124,134
6,78,-125,170
6,79,-125,169
6,80,125,171
6,81,-169,126
6,82,-169,125
6,83,127,168
6,84,-133,140
6,85,-133,145
6,86,-144,133
6,87,133,145
6,88,160,167
6,89,-161,172
7,1,-56,44
7,2,-56,43
7,3,45,55
7,4,-45,83
7,5,-45,82
7,6,-45,84
7,7,-45,83
7,8,-55,46
7,9,-55,45
7,10,-84,46
7,11,-84,45
7,12,-55,47
7,13,-55,46
7,14,-35,93
7,15,-94,36
7,16,-94,35
7,17,-94,37
