step,contact,mtype,p1,p2,p3,m4,m5,m6,m0_0,m0_2,o2,o3,o4,o5
1,1,0,56,45,44,0,55,0,2,2,0.99999999458231448,7.5660116542352431e-307,1.6912041649019805e-306,0.38125749130017106
1,2,0,56,44,43,0,55,0,2,2,0,1.2461113028850622e-306,1.6911905830720608e-306,0
1,3,0,55,45,44,45,56,55,2,2,0,1.6980110850751408e-312,-9.0802248174423567e+56,0.38125749130017106
1,4,0,38,94,93,94,39,38,2,2,-0,1.6911240373669469e-306,1.6911905830720447e-306,1.4931121245363657
1,5,0,93,39,38,39,94,93,2,2,0,0,0,1.4931121245363657
1,6,0,108,41,40,0,107,0,2,2,0.73292410015419407,0,0,1.180946344925621
1,7,0,107,42,41,0,106,0,2,2,0.99999997622641557,0,0,0.18200274506858388
1,8,0,107,41,40,108,0,0,2,2,-0,0,0,1.180946344925621
1,9,0,42,107,106,0,41,0,2,2,0.99999997622641557,0,0,0.18200274506858388
1,10,0,42,106,105,0,0,0,0,2,0,0,0,0
1,11,0,39,154,153,40,0,0,2,2,0.105931981197912,9.3460979024834349e-307,1.6911905830720643e-306,0.90543976972269768
1,12,0,152,41,40,153,0,0,2,2,0.73292410015419407,1.6912136717954044e-306,1.9582211764281057e-306,0.4303342014760605
1,13,0,40,154,153,0,39,0,2,2,0.99999999923215677,1.0013783030478139e-307,1.780190822708324e-306,0.90543976972269768
1,14,0,40,153,152,41,0,0,2,2,0,0,0,0.43033420245635839
1,15,0,42,162,161,162,43,42,2,2,0,0,0,1.0488857807868071
1,16,0,161,43,42,43,162,161,2,2,-0,0,0,1.0488857807868071
1,17,0,43,167,172,44,0,0,2,2,0.37356152951684263,0,0,0.97441151054018582
1,18,0,172,45,44,167,0,0,2,2,0.99999999458231448,0,0,2.0655332021231032e-09
1,19,0,172,44,43,167,0,0,2,2,0,0,0,0.9744115111028554
1,20,0,59,90,89,90,60,59,2,2,0,0,0,0.90429591704568701
1,21,0,89,60,59,60,90,89,2,2,-0,0,0,0.90429591704568701
1,22,0,124,58,57,125,0,0,2,2,0.35338630059434412,0,0,0.93107401612311935
1,23,0,57,125,124,125,58,57,2,2,0.056659031055712336,0,0,0.93107401617457031
1,24,0,134,58,57,0,133,0,2,2,0.35338630059434412,0,0,0.5088491048669388
1,25,0,58,134,133,0,57,0,2,2,0.39672806989082837,0,0,0.50884910484180146
1,26,0,58,144,143,144,59,58,2,2,-0,0,0,1.1278773345612545
1,27,0,143,59,58,59,144,143,2,2,0,0,0,1.1278773345612545
1,28,0,56,172,171,172,57,56,2,2,0,0,0,0.51780864545384886
1,29,0,171,57,56,57,172,171,2,2,-0,0,0,0.51780864545384886
1,30,0,90,143,142,143,91,90,2,2,-0,0,0,0.41645258162904936
1,31,0,142,91,90,91,143,142,2,2,0,0,0,0.41645258162904936
1,32,0,92,154,153,154,93,92,2,2,0,0,0,0.10727934198227057
1,33,0,93,154,153,0,92,0,2,2,0.105931981197912,0,0,0.10727934198227057
1,34,0,104,117,116,117,105,104,2,2,0,0,0,0.70559046016262161
1,35,0,116,105,104,105,117,116,2,2,-0,0,0,0.70559046016262161
1,36,0,108,152,151,152,109,108,2,2,-0,0,0,1.4737505705609584
1,37,0,151,109,108,109,152,151,2,2,0,0,0,1.4737505705609584
1,38,0,105,159,162,106,0,0,2,2,0.41509443247994732,0,0,0.75189377472273589
1,39,0,162,107,106,0,0,0,0,2,0.99999997622641557,0,0,0
1,40,0,162,106,105,159,0,0,2,2,0,0,0,0.75189377542559166
1,41,0,115,159,162,159,116,115,2,2,-0,0,0,0.53360223818920616
1,42,0,116,159,162,0,115,0,2,2,0.41509443247994732,0,0,0.53360223818920616
1,43,0,123,135,134,135,124,123,2,2,-0,0,0,0.71839673040441243
1,44,0,134,124,123,124,135,134,2,2,0,0,0,0.71839673040441243
1,45,0,125,171,170,0,124,0,2,2,0.99999974818526183,0,0,0.05592224520483946
1,46,0,125,170,169,126,0,0,2,2,0,0,0,0.66424769417176022
1,47,1,171,126,125,171,125,124,0,3,0,0,0,0
1,48,0,169,127,126,0,168,0,2,2,0.99999999697115383,0,0,0.50990195058707111
1,49,0,169,126,125,170,0,0,2,2,-0,0,0,0.66424769417176022
1,50,0,168,127,126,127,169,168,2,2,-0,0,0,0.50990195058707111
1,51,0,144,134,133,145,0,0,2,2,0.39672806989082837,0,0,0.77376521770473106
1,52,0,133,145,144,145,134,133,2,2,0,0,0,0.77376521839880463
1,53,0,160,167,172,167,161,160,2,2,-0,0,0,0.58106689099822839
1,54,0,161,167,172,0,160,0,2,2,0.37356152951684263,0,0,0.58106689099822839
2,1,0,56,45,44,0,55,0,0,1,1.0046773331877663,-0.00097890089449837684,3.1500000000000002e-13,0.37979829165261081
2,2,0,56,44,43,0,55,0,0,1,0.0018182652655008684,-0.0010595269737056763,3.1500000000000002e-13,0.0017719978290373166
2,3,0,55,45,44,45,56,55,0,1,0.0039587082690300899,-0.00073627589762329004,3.1500000000000002e-13,0.37979829165261081
2,4,0,38,94,93,94,39,38,2,2,-0,-0.0030860549820707294,0.0032266566982887997,1.4933363265957549
2,5,0,93,39,38,39,94,93,2,2,0,-0.00080735135305379832,0.00018927416804814031,1.4933370664500363
2,6,0,108,41,40,0,107,0,0,1,0.73502611542308693,-0.0030338670663980897,3.1500000000000002e-13,1.1831911808683129
2,7,0,107,42,41,0,106,0,0,1,1.0095991011425762,-0.00060388452637362769,3.1500000000000002e-13,0.18093470619634811
2,8,0,107,41,40,108,0,0,0,1,0.00086809051949157082,-0.0021791274038539081,3.1500000000000002e-13,1.1831911808683129
2,9,0,42,107,106,0,41,0,0,1,1.0057037355301528,-0.00079095027186949036,3.1500000000000002e-13,0.18093488456665424
2,10,0,42,106,105,0,0,0,0,1,0.0009482773095796876,-0.001712680531834568,3.1500000000000002e-13,0
2,11,0,39,154,153,40,0,0,0,1,0.11119884869054797,-0.0011374833017731333,3.1500000000000002e-13,0.90159091708337735
2,12,0,152,41,40,153,0,0,0,1,0.73514982633524584,-0.0006921177060750152,3.1500000000000002e-13,0.4268405153954799
2,13,0,40,154,153,0,39,0,0,1,1.0039664205050767,-0.00050089256755789138,3.1500000000000002e-13,0.90159091708337735
2,14,0,40,153,152,41,0,0,0,1,0.0092943448371177479,-0.00093371619672370559,3.1500000000000002e-13,0.42684040335831702
2,15,0,42,162,161,162,43,42,2,2,0,-0.0015922931238433686,0.00032987055182109241,1.0489694403354328
2,16,0,161,43,42,43,162,161,2,2,-0,-0.0025742833786865475,-0.00050154037150356768,1.0492193221225845
2,17,0,43,167,172,44,0,0,0,0,0.37364638321912919,0,0,0.973984575059334
2,18,0,172,45,44,167,0,0,0,1,1.0015252153890208,-0.0010537338273751838,3.1500000000000002e-13,0.00058157649081565254
2,19,0,172,44,43,167,0,0,0,1,0.00058438358968268989,-0.0010797784369246744,3.1500000000000002e-13,0.97398456440140813
