step,d0,h1,h5,f1,f0,w0,hh,g0
1,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
2,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
3,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
4,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
5,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
6,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
7,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
8,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
9,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
10,0.19687500000000002,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,5000,5000
