step,block,storage_row
1,1,8
1,2,6
1,3,7
1,4,2
1,5,1
1,6,3
1,7,4
1,8,5
1,9,9
1,10,10
1,11,11
2,1,8
2,2,6
2,3,7
2,4,2
2,5,1
2,6,3
2,7,4
2,8,5
2,9,9
2,10,10
2,11,11
3,1,8
3,2,6
3,3,7
3,4,2
3,5,1
3,6,3
3,7,4
3,8,5
3,9,9
3,10,10
3,11,11
4,1,8
4,2,6
4,3,7
4,4,2
4,5,1
4,6,3
4,7,4
4,8,5
4,9,9
4,10,10
4,11,11
5,1,8
5,2,6
5,3,7
5,4,2
5,5,1
5,6,3
5,7,4
5,8,5
5,9,9
5,10,10
5,11,11
6,1,8
6,2,6
6,3,7
6,4,2
6,5,1
6,6,3
6,7,4
6,8,5
6,9,9
6,10,10
6,11,11
7,1,8
7,2,6
7,3,7
7,4,2
7,5,1
7,6,3
7,7,4
7,8,5
7,9,9
7,10,10
7,11,11
8,1,8
8,2,6
8,3,7
8,4,2
8,5,1
8,6,3
8,7,4
8,8,5
8,9,9
8,10,10
8,11,11
9,1,8
9,2,6
9,3,7
9,4,2
9,5,1
9,6,3
9,7,4
9,8,5
9,9,9
9,10,10
9,11,11
10,1,8
10,2,6
10,3,7
10,4,2
10,5,1
10,6,3
10,7,4
10,8,5
10,9,9
10,10,10
10,11,11
