step,iter_step,iter_total,close_points,open_points,rel_max_ds,step_time,total_time,spring_stiffness,wall_clock
1,1,1,0,4,0.09190439125,0.1,0.1,5000,1789696018
1,-1,2,0,0,0.1761399163,0.1,0.1,5000,1789696018
2,1,3,0,2,0.01811844783,0.1,0.2,5000,1789696018
2,-1,4,0,0,0.02024516481,0.1,0.2,5000,1789696018
3,1,5,0,1,0.01784146353,0.1,0.3,5000,1789696018
3,-1,6,0,0,0.01797011605,0.1,0.3,5000,1789696018
4,1,7,0,3,0.01750677446,0.1,0.4,5000,1789696018
4,-1,8,0,0,0.01761572106,0.1,0.4,5000,1789696018
5,1,9,0,2,0.01689846121,0.1,0.5,5000,1789696018
5,-1,10,0,0,0.0171827266,0.1,0.5,5000,1789696018
6,-1,11,0,0,0.01685330564,0.1,0.6,5000,1789696018
7,1,12,0,2,0.01660350507,0.1,0.7,5000,1789696018
7,-1,13,0,0,0.01674756634,0.1,0.7,5000,1789696018
8,1,14,0,4,0.01618976004,0.1,0.8,5000,1789696018
8,-1,15,0,0,0.01658279522,0.1,0.8,5000,1789696018
9,1,16,0,2,0.01633859775,0.1,0.9,5000,1789696018
9,-1,17,0,0,0.01641118956,0.1,0.9,5000,1789696018
10,-1,18,0,0,0.01601117314,0.1,1,5000,1789696018
11,-1,19,0,0,0.01575612548,0.1,1.1,5000,1789696018
12,1,20,1,0,0.01555566856,0.1,1.2,5000,1789696018
12,-1,21,0,0,0.01560681339,0.1,1.2,5000,1789696018
13,-1,22,0,0,0.01538978679,0.1,1.3,5000,1789696018
14,-1,23,0,0,0.01518941377,0.1,1.4,5000,1789696018
15,-1,24,0,0,0.01498037941,0.1,1.5,5000,1789696018
16,-1,25,0,0,0.01501164879,0.1,1.6,5000,1789696018
17,-1,26,0,0,0.01626322998,0.1,1.7,5000,1789696018
18,-1,27,0,0,0.01487722144,0.1,1.8,5000,1789696018
19,1,28,0,1,0.01479835234,0.1,1.9,5000,1789696018
19,-1,29,0,0,0.01471236155,0.1,1.9,5000,1789696018
20,1,30,0,1,0.01498953249,0.1,2,5000,1789696018
20,-1,31,0,0,0.01442543283,0.1,2,5000,1789696018
21,-1,32,0,0,0.01488833188,0.1,2.1,5000,1789696018
22,-1,33,0,0,0.0146691245,0.1,2.2,5000,1789696018
23,-1,34,0,0,0.01457045238,0.1,2.3,5000,1789696018
24,-1,35,0,0,0.01448282878,0.1,2.4,5000,1789696018
25,-1,36,0,0,0.01439110399,0.1,2.5,5000,1789696018
26,-1,37,0,0,0.01430169631,0.1,2.6,5000,1789696018
27,-1,38,0,0,0.01421419852,0.1,2.7,5000,1789696018
28,-1,39,0,0,0.01412861425,0.1,2.8,5000,1789696018
29,-1,40,0,0,0.01404472248,0.1,2.9,5000,1789696018
30,-1,41,0,0,0.01396268009,0.1,3,5000,1789696018
31,-1,42,0,0,0.01386019112,0.1,3.1,5000,1789696018
32,-1,43,0,0,0.01378128999,0.1,3.2,5000,1789696018
33,-1,44,0,0,0.01359683549,0.1,3.3,5000,1789696018
34,-1,45,0,0,0.01364944039,0.1,3.4,5000,1789696018
35,-1,46,0,0,0.01357709197,0.1,3.5,5000,1789696018
36,-1,47,0,0,0.01350523682,0.1,3.6,5000,1789696018
37,1,48,0,1,0.01343486971,0.1,3.7,5000,1789696018
37,-1,49,0,0,0.01332432666,0.1,3.7,5000,1789696018
38,-1,50,0,0,0.01346480683,0.1,3.8,5000,1789696018
39,1,51,0,1,0.01329930211,0.1,3.9,5000,1789696018
39,-1,52,0,0,0.01289139552,0.1,3.9,5000,1789696018
40,-1,53,0,0,0.01332545057,0.1,4,5000,1789696018
41,-1,54,0,0,0.01316574193,0.1,4.1,5000,1789696018
42,-1,55,0,0,0.01309104703,0.1,4.2,5000,1789696018
43,-1,56,0,0,0.01303053054,0.1,4.3,5000,1789696018
44,-1,57,0,0,0.01297004925,0.1,4.4,5000,1789696018
45,-1,58,0,0,0.01291080077,0.1,4.5,5000,1789696018
46,-1,59,0,0,0.01285275898,0.1,4.6,5000,1789696018
47,-1,60,0,0,0.01279589448,0.1,4.7,5000,1789696018
48,-1,61,0,0,0.01274018023,0.1,4.8,5000,1789696018
49,-1,62,0,0,0.01268558995,0.1,4.9,5000,1789696018
50,-1,63,0,0,0.01263209796,0.1,5,5000,1789696018
