step,constraint,computed,input,error
1,1,0.0002716444456,0.00039,-0.0001183555544
1,2,0.0001634194468,0.000234,-7.058055317e-05
1,3,0.0001771708764,0.000156,2.117087643e-05
1,4,0.0009620938113,0.00091,5.209381132e-05
1,5,-0.0006958643286,-0.000798,0.0001021356714
1,6,0.0001718728981,0.000104,6.787289809e-05
2,1,0.0005501412844,0.00078,-0.0002298587156
2,2,0.0003209661313,0.000468,-0.0001470338687
2,3,0.0003500885583,0.000312,3.808855829e-05
2,4,0.001913304225,0.00182,9.330422463e-05
2,5,-0.001361954804,-0.001596,0.0002340451956
2,6,0.0003305135477,0.000208,0.0001225135477
3,1,0.0008358813651,0.00117,-0.0003341186349
3,2,0.0004710258376,0.000702,-0.0002309741624
3,3,0.0005166996649,0.000468,4.869966488e-05
3,4,0.002856050084,0.00273,0.0001260500838
3,5,-0.002008264019,-0.002394,0.0003857359808
3,6,0.0004838239761,0.000312,0.0001718239761
4,1,0.001127308688,0.00156,-0.0004326913122
4,2,0.0006142546772,0.000936,-0.0003217453228
4,3,0.0006787395934,0.000624,5.473959342e-05
4,4,0.003791836535,0.00364,0.0001518365354
4,5,-0.002638148993,-0.003192,0.0005538510068
4,6,0.0006306529198,0.000416,0.0002146529198
5,1,0.001423123526,0.00195,-0.0005268764737
5,2,0.0007533846707,0.00117,-0.0004166153293
5,3,0.0008390522383,0.00078,5.905223826e-05
5,4,0.004719955304,0.00455,0.0001699553039
5,5,-0.003253458866,-0.00399,0.0007365411336
5,6,0.0007727469399,0.00052,0.0002527469399
6,1,0.001721375358,0.00234,-0.000618624642
6,2,0.0008880565143,0.001404,-0.0005159434857
6,3,0.0009960268735,0.000936,6.002687347e-05
6,4,0.005642266721,0.00546,0.0001822667208
6,5,-0.00385694779,-0.004788,0.0009310522102
6,6,0.0009093475105,0.000624,0.0002853475105
7,1,0.002022405193,0.00273,-0.000707594807
7,2,0.001017585232,0.001638,-0.0006204147675
7,3,0.00114863861,0.001092,5.663861004e-05
7,4,0.006560111098,0.00637,0.0001901110979
7,5,-0.004449203891,-0.005586,0.001136796109
7,6,0.001040242974,0.000728,0.0003122429744
8,1,0.002326223202,0.00312,-0.0007937767984
8,2,0.001142534119,0.001872,-0.0007294658812
8,3,0.001300023179,0.001248,5.202317919e-05
8,4,0.007473880617,0.00728,0.0001938806166
8,5,-0.005031825429,-0.006384,0.001352174571
8,6,0.001164337761,0.000832,0.0003323377611
9,1,0.002632845586,0.00351,-0.0008771544138
9,2,0.001262191908,0.002106,-0.0008438080925
9,3,0.001450167727,0.001404,4.616772732e-05
9,4,0.008384257955,0.00819,0.0001942579549
9,5,-0.005606354118,-0.007182,0.001575645882
