step,d0,h1,h5,f1,f0,w0,hh,g0
1,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
2,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
3,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
4,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
5,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
6,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
7,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
8,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
9,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
10,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
11,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
12,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
13,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
14,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
15,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
16,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
17,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
18,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
19,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
20,0.2205,3,0.29999999999999999,0.0001,9.9999999999999995e-08,4.4100000000000001,5000,5000
