step,oc_iter,contact,mtype,m0_0,m0_prev,m0_new,o3,o4,t3,w0
1,0,1,0,2,2,2,-7.1072522379618416e-05,7.7690072032595962e-05,0,4.4100000000000001
1,0,2,0,2,2,2,-7.3448056239393885e-05,7.9663305229397353e-05,0,4.4100000000000001
1,1,1,0,2,2,2,-7.1072522379618416e-05,7.7690072032595962e-05,0,4.4100000000000001
1,1,2,0,2,2,2,-7.3448056239393885e-05,7.9663305229397353e-05,0,4.4100000000000001
2,2,1,0,2,2,2,-0.00025380449100068168,0.00029025763991687419,0,4.4100000000000001
2,2,2,0,2,2,2,-0.00027085480526629327,0.00030316449035822687,0,4.4100000000000001
3,3,1,0,2,2,2,-0.00048841743932646572,0.00060056841407773705,0,4.4100000000000001
3,3,2,0,2,2,2,-0.00054862996059500525,0.0006417328118099114,0,4.4100000000000001
4,4,1,0,2,2,2,-0.00071553655088841921,0.00097829495323116934,0,4.4100000000000001
4,4,2,0,2,2,2,-0.00085768283134037753,0.0010658087594319421,0,4.4100000000000001
5,5,1,0,2,2,2,-0.00088388788832967336,0.0013952820829403211,0,4.4100000000000001
5,5,2,0,2,2,2,-0.0011406101917708011,0.001537260419108933,0,4.4100000000000001
6,6,1,0,2,2,2,-0.00096334392218021866,0.0018221136264858192,0,4.4100000000000001
6,6,2,0,2,2,2,-0.0013471548061385966,0.0020106767757349792,0,4.4100000000000001
7,7,1,0,2,2,1,-0.00094596321604219278,0.0022293811172659013,0,4.4100000000000001
7,7,2,0,2,2,2,-0.0014464544373415781,0.0024420639160974925,0,4.4100000000000001
8,8,1,0,0,1,1,-0.0008490244513394506,0.00045175788365463016,0,4.4100000000000001
8,8,2,0,2,2,1,-0.001428976735849476,0.0027950127019028123,0,4.4100000000000001
9,9,1,0,0,1,1,-0.00071249716919860367,0.0005552388191707371,0,4.4100000000000001
9,9,2,0,0,1,1,-0.0013015393491042379,0.00026043988737274853,0,4.4100000000000001
10,10,1,0,0,1,1,-0.00057510175556900424,0.00060792610473434062,0,4.4100000000000001
10,10,2,0,0,1,1,-0.0010890890114719173,0.00020297776403695734,0,4.4100000000000001
11,11,1,0,0,1,1,-0.00045864208791875457,0.00060001254130714042,0,4.4100000000000001
11,11,2,0,0,1,1,-0.00083856500686161945,0.00023119921838942373,0,4.4100000000000001
12,12,1,0,0,1,1,-0.0003728598386255649,0.00054294759248971029,0,4.4100000000000001
12,12,2,0,0,1,1,-0.00060717910287036989,0.00035811171142329331,0,4.4100000000000001
13,13,1,0,0,1,1,-0.00032346065086422723,0.00046427329761869929,0,4.4100000000000001
13,13,2,0,0,1,1,-0.00044272987287532117,0.00055054434375504898,0,4.4100000000000001
14,14,1,0,0,1,1,-0.0003157768807600076,0.00040524579777795751,0,4.4100000000000001
14,14,2,0,0,1,1,-0.00037231956191166013,0.00075082434731469532,0,4.4100000000000001
15,15,1,0,0,1,1,-0.00035255579165230019,0.00040684870578536816,0,4.4100000000000001
15,15,2,0,0,1,1,-0.00040062791094886362,0.00090547565420316298,0,4.4100000000000001
16,16,1,0,0,1,1,-0.00042968076918916017,0.00048921082672779149,0,4.4100000000000001
16,16,2,0,0,1,1,-0.00051296159914181183,0.0009824728414922837,0,4.4100000000000001
17,17,1,0,0,1,1,-0.00053394904999459465,0.00064092215125089466,0,4.4100000000000001
17,17,2,0,0,1,1,-0.00068064473956852382,0.00097721364866436289,0,4.4100000000000001
18,18,1,0,0,1,1,-0.00064431776966932376,0.00082504912744742773,0,4.4100000000000001
18,18,2,0,0,1,1,-0.00086769922872832717,0.0009105897442917637,0,4.4100000000000001
19,19,1,0,0,1,1,-0.00073644747318914899,0.00099555322052226987,0,4.4100000000000001
19,19,2,0,0,1,1,-0.0010377095276382436,0.00081986632977099343,0,4.4100000000000001
20,20,1,0,0,1,1,-0.00078931494476264697,0.0011143329704496642,0,4.4100000000000001
20,20,2,0,0,1,1,-0.0011598436245694882,0.00074478384217793281,0,4.4100000000000001
