step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2,m_i0,fric_ang,coh,tens
2,1,2,0,2,-7.1072522379618416e-05,7.7690072032595962e-05,1.0000009598786661,-7.1072522379618416e-05,7.7690072032595962e-05,0.088388347634454759,0,38,0,0
2,2,2,0,2,-7.3448056239393885e-05,7.9663305229397353e-05,1.0000009598786661,-7.3448056239393885e-05,7.9663305229397353e-05,0.26516504299086424,0,38,0,0
3,1,2,0,2,-0.00025380449100068168,0.00029025763991687419,1.000006318788341,-0.00025380449100068168,0.00029025763991687419,0.088388347634454759,0,38,0,0
3,2,2,0,2,-0.00027085480526629327,0.00030316449035822687,1.000006318788341,-0.00027085480526629327,0.00030316449035822687,0.26516504299086424,0,38,0,0
4,1,2,0,2,-0.00048841743932646572,0.00060056841407773705,1.0000202444137802,-0.00048841743932646572,0.00060056841407773705,0.088388347634454759,0,38,0,0
4,2,2,0,2,-0.00054862996059500525,0.0006417328118099114,1.0000202444137802,-0.00054862996059500525,0.0006417328118099114,0.26516504299086424,0,38,0,0
5,1,2,0,2,-0.00071553655088841921,0.00097829495323116934,1.0000431547136315,-0.00071553655088841921,0.00097829495323116934,0.088388347634454759,0,38,0,0
5,2,2,0,2,-0.00085768283134037753,0.0010658087594319421,1.0000431547136315,-0.00085768283134037753,0.0010658087594319421,0.26516504299086424,0,38,0,0
6,1,2,0,2,-0.00088388788832967336,0.0013952820829403211,1.0000700972536032,-0.00088388788832967336,0.0013952820829403211,0.088388347634454759,0,38,0,0
6,2,2,0,2,-0.0011406101917708011,0.001537260419108933,1.0000700972536032,-0.0011406101917708011,0.001537260419108933,0.26516504299086424,0,38,0,0
7,1,2,0,2,-0.00096334392218021866,0.0018221136264858192,1.0000931023704294,-0.00096334392218021866,0.0018221136264858192,0.088388347634454759,0,38,0,0
7,2,2,0,2,-0.0013471548061385966,0.0020106767757349792,1.0000931023704294,-0.0013471548061385966,0.0020106767757349792,0.26516504299086424,0,38,0,0
8,1,0,0,1,-0.00094596321604219278,4.4100000000000004e-13,1.0001049011818723,-0.00094596321604219278,4.4100000000000004e-13,0.08858540052809262,0,38,0,0
8,2,2,0,2,-0.0014464544373415781,0.0024420639160974925,1.0001049011818723,-0.0014464544373415781,0.0024420639160974925,0.26516504299086424,0,38,0,0
9,1,0,0,1,-0.0008490244513394506,4.4100000000000004e-13,1.0000554333147953,-0.0008490244513394506,4.4100000000000004e-13,0.088625331034198465,0,38,0,0
9,2,0,0,1,-0.001428976735849476,4.4100000000000004e-13,1.0000554333147953,-0.001428976735849476,4.4100000000000004e-13,0.26541208960167978,0,38,0,0
10,1,0,0,1,-0.00071249716919860367,4.4100000000000004e-13,0.99990817703721802,-0.00071249716919860367,4.4100000000000004e-13,0.088674407808594605,0,38,0,0
10,2,0,0,1,-0.0013015393491042379,4.4100000000000004e-13,0.99990817703721802,-0.0013015393491042379,4.4100000000000004e-13,0.2654351093998954,0,38,0,0
11,1,0,0,1,-0.00057510175556900424,4.4100000000000004e-13,0.99970588524246962,-0.00057510175556900424,4.4100000000000004e-13,0.088728142092874204,0,38,0,0
11,2,0,0,1,-0.0010890890114719173,4.4100000000000004e-13,0.99970588524246962,-0.0010890890114719173,4.4100000000000004e-13,0.26545304963114358,0,38,0,0
12,1,0,0,1,-0.00045864208791875457,4.4100000000000004e-13,0.99952168586182399,-0.00045864208791875457,4.4100000000000004e-13,0.088781177400349423,0,38,0,0
12,2,0,0,1,-0.00083856500686161945,4.4100000000000004e-13,0.99952168586182399,-0.00083856500686161945,4.4100000000000004e-13,0.2654734838060086,0,38,0,0
13,1,0,0,1,-0.0003728598386255649,4.4100000000000004e-13,0.99942947990573006,-0.0003728598386255649,4.4100000000000004e-13,0.088829168943493492,0,38,0,0
13,2,0,0,1,-0.00060717910287036989,4.4100000000000004e-13,0.99942947990573006,-0.00060717910287036989,4.4100000000000004e-13,0.26550513544439491,0,38,0,0
14,1,0,0,1,-0.00032346065086422723,4.4100000000000004e-13,0.99947279042213666,-0.00032346065086422723,4.4100000000000004e-13,0.088870206250244985,0,38,0,0
14,2,0,0,1,-0.00044272987287532117,4.4100000000000004e-13,0.99947279042213666,-0.00044272987287532117,4.4100000000000004e-13,0.26555379622446978,0,38,0,0
15,1,0,0,1,-0.0003157768807600076,4.4100000000000004e-13,0.99964569352524724,-0.0003157768807600076,4.4100000000000004e-13,0.088906025646931383,0,38,0,0
15,2,0,0,1,-0.00037231956191166013,4.4100000000000004e-13,0.99964569352524724,-0.00037231956191166013,4.4100000000000004e-13,0.26562015998687077,0,38,0,0
