step,row_block,z1,z2,z3,z4,z5,z6
1,1,-6.8214462015282089e-08,-1.7333053556507147e-07,1.0988603708750265e-08,-8.4076295216792136e-09,-1.1079580910858265e-07,-6.5220443527014572e-08
1,2,3.6053265713053058e-06,-0.00011583139142151003,-1.1598354359592715e-05,-2.0423765202484412e-06,-2.2988058185079368e-05,-2.6949616003483468e-05
1,1,-6.8214462015282089e-08,-1.7333053556507147e-07,1.0988603708750265e-08,-8.4076295216792136e-09,-1.1079580910858265e-07,-6.5220443527014572e-08
1,2,3.6053265713053058e-06,-0.00011583139142151003,-1.1598354359592715e-05,-2.0423765202484412e-06,-2.2988058185079368e-05,-2.6949616003483468e-05
2,1,-3.0243524441753013e-07,-7.9461497953336585e-07,4.2412016755341513e-08,-2.6694578095864608e-08,-4.1572477219021974e-07,-2.2901680033935598e-07
2,2,1.9907532690138261e-05,-0.00032298473461269794,-5.026784436939916e-05,2.1136387902826471e-06,-8.4220941458522947e-05,-9.282785379109907e-05
3,1,-6.1120653492227632e-07,-1.7110100449297792e-06,7.4733775597818798e-08,-2.9526859561274082e-08,-7.0143951182138981e-07,-3.3302122589712441e-07
3,2,5.647741220616608e-05,-0.00047150697169921887,-0.00010424387118768587,2.4101055229789002e-05,-0.00014204397100372643,-0.00014580797640418501
4,1,-7.3970180415429591e-07,-2.3734780189860814e-06,7.8389525143437261e-08,-6.8833390653702161e-09,-7.7509259492474698e-07,-2.6445523797786185e-07
4,2,0.00011374999559590644,-0.00054802132502871747,-0.00014880813231120729,5.1886682246196262e-05,-0.00016471451992525833,-0.00015868489253752005
5,1,-5.2014024910064848e-07,-2.3982616563209122e-06,3.6627799544976129e-08,1.5646333291062464e-08,-6.9433198430146161e-07,-1.0750905772239331e-07
5,2,0.00018479263557708584,-0.00055097604704854128,-0.00017443031988685721,7.3194272343303431e-05,-0.00016186241355684481,-0.00014262237010045486
6,1,-1.243315109185781e-10,-1.8251303840515879e-06,-4.4498873791389251e-08,1.9712471885935386e-08,-5.4585506165567155e-07,4.6121570030077792e-08
6,2,0.00025680586739043094,-0.00048967877579437949,-0.00018103248986455197,9.1337497612302773e-05,-0.00014410520843020718,-9.8883538614398845e-05
7,1,6.126501246612081e-07,-9.8250140681698226e-07,-1.343078293196731e-07,1.3964493871689593e-08,-3.5360604229973202e-07,1.8669504501169053e-07
7,2,0.00031433746489559786,-0.00038133932278298742,-0.00016881337458636255,0.00010486859136818943,-0.00011617884757819228,-3.5040610912972374e-05
8,1,8.3849075169404324e-07,5.1901120063361321e-08,-1.0245430726864455e-07,-6.3725970470943378e-09,3.5660772897645288e-08,1.6281583914593141e-07
8,2,0.0003561102736243424,-0.0002601018888870351,-8.4770062097605693e-05,3.9011300409445146e-05,-5.0847704958449027e-05,8.7017263871917613e-05
9,1,5.7434396011069573e-07,1.0834776621423301e-06,-2.815395493691128e-08,-1.8463722476832403e-08,4.0425542635570087e-07,9.7726244602679476e-08
9,2,0.00038507980850894461,-0.00015951755118139618,4.0454436868230443e-05,-6.896966827448757e-05,2.1450501604041363e-05,0.00024702493396286027
10,1,2.4221763674479417e-07,1.6831015873008966e-06,-4.153716807228211e-08,1.2582337668138859e-08,5.042784633155366e-07,1.3740154912523849e-07
10,2,0.00039944628211247398,-9.8601636854785189e-05,0.00012075886116313512,-0.0001153161751740737,5.1633721456065203e-05,0.00034104367036090862
11,1,5.5646546457323083e-08,1.7846201368628591e-06,-3.694334838868419e-08,3.8569797209215714e-08,5.27027901828688e-07,1.2486349408250931e-07
11,2,0.00040332175094502057,-9.0573040324212409e-05,0.00016106803998182189,-0.00011730149413902201,7.1222744081377124e-05,0.00032253338055313101
12,1,-6.2845747010039121e-10,1.5374494039883912e-06,8.9180959642130118e-09,1.8548303166118569e-08,5.0834005102047923e-07,7.3795340234094478e-08
12,2,0.00040170952842498805,-0.00013755143299991056,0.00016975607153148065,-9.210960136895101e-05,0.0001021625520165359,0.00019462543950628372
13,1,-4.1760928621729564e-08,1.1090804572807004e-06,4.7041533421658572e-08,-1.2480682601294533e-08,4.0045301507998786e-07,1.6436519123439308e-08
13,2,0.00040025223556973183,-0.00023164671593269115,0.00014581340336873198,-4.5730409522855207e-05,0.00013108967417069871,-1.277785474173803e-06
14,1,-1.3860572277988382e-07,5.8804635857982576e-07,5.6109202823262696e-08,-2.0940824015775997e-08,2.107631259403333e-07,-4.6599957448649619e-08
14,2,0.00040423113071479924,-0.00035700528742593616,9.2588268911101193e-05,1.2526525770090722e-05,0.00013506578800213937,-0.00019838663856994784
15,1,-2.7348723373466589e-07,1.415880487935768e-08,5.2725809696159055e-08,-1.4537811785946561e-08,-7.5164005096882979e-09,-1.0609294328205248e-07
15,2,0.0004177194496633146,-0.0004930391719258257,2.5545682811669321e-05,6.3033867084493606e-05,0.00010555753712271796,-0.00033029363815536823
16,1,-3.7289011288955928e-07,-5.6309207416112166e-07,4.7884119371303227e-08,-8.0245704540064794e-09,-2.0889330598578881e-07,-1.4204999020665883e-07
16,2,0.00044290796975595401,-0.0006182880070607806,-3.6998739389802606e-05,8.7475738566047294e-05,4.83989656922272e-05,-0.00035736683294426491
17,1,-3.7365238600876365e-07,-1.0537433612795042e-06,3.7802997179461334e-08,-4.1045862368733723e-09,-3.6283819412841856e-07,-1.4293326886238896e-07
17,2,0.00047969747140403832,-0.00071437024652413897,-8.3860488072783889e-05,8.1175902959298567e-05,-2.3564775091825229e-05,-0.00027841988861497427
18,1,-2.6736062373869501e-07,-1.3451796328406066e-06,1.965539104308832e-08,-1.584670664883473e-09,-4.4303146271506783e-07,-1.1104596252225722e-07
18,2,0.00052571573993265947,-0.00076936856656803921,-0.00011132823939200339,5.264098744667179e-05,-9.3822211937911391e-05,-0.00012638856504596256
