step,iter_step,iter_total,close_points,open_points,rel_max_ds,step_time,total_time,spring_stiffness,wall_clock
1,1,1,0,0,0.00142667729,0.005,0.005,5000,1789696017
1,-1,2,0,0,0.00142667729,0.005,0.005,5000,1789696017
2,-1,3,0,0,0.004130488575,0.005,0.01,5000,1789696017
3,-1,4,0,0,0.006305221361,0.005,0.015,5000,1789696017
4,-1,5,0,0,0.007637044247,0.005,0.02,5000,1789696017
5,-1,6,0,0,0.008044924923,0.005,0.025,5000,1789696017
6,-1,7,0,0,0.007624695449,0.005,0.03,5000,1789696017
7,-1,8,0,0,0.006624283845,0.005,0.035,5000,1789696017
8,-1,9,0,0,0.006016618037,0.005,0.04,5000,1789696017
9,-1,10,0,0,0.006474722122,0.005,0.045,5000,1789696017
10,-1,11,0,0,0.007049040067,0.005,0.05,5000,1789696017
11,-1,12,0,0,0.006906971939,0.005,0.055,5000,1789696017
12,-1,13,0,0,0.006207050604,0.005,0.06,5000,1789696017
13,-1,14,0,0,0.006499604724,0.005,0.065,5000,1789696017
14,-1,15,0,0,0.008537216974,0.005,0.07,5000,1789696017
15,-1,16,0,0,0.01026638084,0.005,0.075,5000,1789696017
16,-1,17,0,0,0.01162330064,0.005,0.08,5000,1789696017
17,-1,18,0,0,0.01213552259,0.005,0.085,5000,1789696017
18,-1,19,0,0,0.01168694792,0.005,0.09,5000,1789696017
19,-1,20,0,0,0.01250643977,0.005,0.095,5000,1789696017
20,-1,21,0,0,0.01367335443,0.005,0.1,5000,1789696017
21,-1,22,0,0,0.01389640048,0.005,0.105,5000,1789696017
22,-1,23,0,0,0.01326801287,0.005,0.11,5000,1789696017
23,-1,24,0,0,0.01226682566,0.005,0.115,5000,1789696017
24,-1,25,0,0,0.01138062649,0.005,0.12,5000,1789696017
25,-1,26,0,0,0.01199893674,0.005,0.125,5000,1789696017
26,-1,27,0,0,0.01322540982,0.005,0.13,5000,1789696017
27,-1,28,0,0,0.01416727925,0.005,0.135,5000,1789696017
28,-1,29,0,0,0.01478466934,0.005,0.14,5000,1789696017
29,-1,30,0,0,0.0151014109,0.005,0.145,5000,1789696017
30,-1,31,0,0,0.01550582191,0.005,0.15,5000,1789696017
