step,idx,k,k1
1,1,-10,3
1,2,4,9
1,3,-17,3
1,4,-18,3
1,5,-25,3
1,6,-26,3
1,7,-33,3
1,8,-34,3
1,9,-41,3
1,10,3,42
1,11,10,17
1,12,11,20
1,13,-11,49
1,14,-49,11
1,15,18,25
1,16,19,28
1,17,-50,19
1,18,-20,49
1,19,-19,57
1,20,-57,19
1,21,26,33
1,22,27,36
1,23,-58,27
1,24,-28,57
1,25,-27,65
1,26,-65,27
1,27,34,41
1,28,35,44
1,29,-66,35
1,30,-36,65
1,31,-35,73
1,32,-73,35
1,33,-74,43
1,34,-44,73
1,35,50,57
1,36,51,60
1,37,-82,51
1,38,-52,81
1,39,-51,89
1,40,-89,51
1,41,58,65
1,42,59,68
1,43,-90,59
1,44,-60,89
1,45,-59,97
1,46,-97,59
1,47,66,73
1,48,67,76
1,49,-98,67
1,50,-68,97
1,51,-67,105
1,52,-105,67
1,53,-106,75
1,54,-76,105
1,55,-75,113
1,56,-113,75
1,57,82,89
1,58,83,92
1,59,-83,121
1,60,-121,83
1,61,90,97
1,62,91,100
1,63,-122,91
1,64,-92,121
1,65,-91,129
1,66,-129,91
1,67,98,105
1,68,99,108
1,69,-130,99
1,70,-100,129
1,71,-99,137
1,72,-137,99
1,73,106,113
1,74,107,116
1,75,-138,107
1,76,-108,137
1,77,-107,145
1,78,-145,107
1,79,-146,115
1,80,-116,145
1,81,122,129
1,82,123,132
1,83,-154,123
1,84,-124,153
1,85,-123,161
1,86,-161,123
1,87,130,137
1,88,131,140
1,89,-162,131
1,90,-132,161
1,91,-131,169
1,92,-169,131
1,93,138,145
1,94,139,148
1,95,-170,139
1,96,-140,169
1,97,-139,177
1,98,-177,139
1,99,-178,147
1,100,-148,177
1,101,-147,185
1,102,-185,147
1,103,154,161
1,104,155,164
1,105,162,169
1,106,163,172
1,107,170,177
1,108,171,180
1,109,178,185
1,110,179,188
2,1,4,9
2,2,3,42
2,3,10,17
2,4,11,20
2,5,-11,49
2,6,-49,11
2,7,18,25
2,8,19,28
2,9,-50,19
2,10,-20,49
2,11,-19,57
2,12,-57,19
2,13,26,33
2,14,27,36
2,15,-58,27
2,16,-28,57
2,17,-27,65
2,18,-65,27
2,19,34,41
2,20,35,44
2,21,-66,35
2,22,-36,65
2,23,-35,73
2,24,-73,35
2,25,-74,43
2,26,-44,73
2,27,50,57
2,28,51,60
2,29,-82,51
2,30,-52,81
2,31,-51,89
2,32,-89,51
2,33,58,65
2,34,59,68
2,35,-90,59
2,36,-60,89
2,37,-59,97
2,38,-97,59
2,39,66,73
2,40,67,76
2,41,-98,67
2,42,-68,97
2,43,-67,105
2,44,-105,67
2,45,-106,75
2,46,-76,105
2,47,-75,113
2,48,-113,75
2,49,82,89
2,50,83,92
2,51,-83,121
2,52,-121,83
2,53,90,97
2,54,91,100
2,55,-122,91
2,56,-92,121
2,57,-91,129
2,58,-129,91
2,59,98,105
2,60,99,108
2,61,-130,99
2,62,-100,129
2,63,-99,137
2,64,-137,99
2,65,106,113
2,66,107,116
2,67,-138,107
2,68,-108,137
2,69,-107,145
2,70,-145,107
2,71,-146,115
2,72,-116,145
2,73,122,129
2,74,123,132
2,75,-154,123
2,76,-124,153
2,77,-123,161
2,78,-161,123
2,79,130,137
2,80,131,140
2,81,-162,131
2,82,-132,161
2,83,-131,169
2,84,-169,131
2,85,138,145
2,86,139,148
2,87,-170,139
2,88,-140,169
2,89,-139,177
2,90,-177,139
2,91,-178,147
2,92,-148,177
2,93,-147,185
2,94,-185,147
2,95,154,161
2,96,155,164
2,97,162,169
2,98,163,172
2,99,170,177
2,100,171,180
2,101,178,185
2,102,179,188
3,1,4,9
3,2,3,42
3,3,10,17
3,4,11,20
3,5,-11,49
3,6,-49,11
3,7,18,25
3,8,19,28
3,9,-50,19
3,10,-20,49
3,11,-19,57
3,12,-57,19
3,13,26,33
3,14,27,36
3,15,-58,27
3,16,-28,57
3,17,-27,65
3,18,-65,27
3,19,34,41
3,20,35,44
3,21,-66,35
3,22,-36,65
3,23,-35,73
3,24,-73,35
3,25,-74,43
3,26,-44,73
3,27,50,57
3,28,51,60
3,29,-82,51
3,30,-52,81
3,31,-51,89
3,32,-89,51
3,33,58,65
3,34,59,68
3,35,-90,59
3,36,-60,89
3,37,-59,97
3,38,-97,59
3,39,66,73
3,40,67,76
3,41,-98,67
3,42,-68,97
3,43,-67,105
3,44,-105,67
3,45,-106,75
3,46,-76,105
3,47,-75,113
3,48,-113,75
3,49,82,89
3,50,83,92
3,51,-83,121
3,52,-121,83
3,53,90,97
3,54,91,100
3,55,-122,91
3,56,-92,121
3,57,-91,129
3,58,-129,91
3,59,98,105
3,60,99,108
3,61,-130,99
3,62,-100,129
3,63,-99,137
3,64,-137,99
3,65,106,113
3,66,107,116
3,67,-138,107
3,68,-108,137
3,69,-107,145
3,70,-145,107
3,71,-146,115
3,72,-116,145
3,73,122,129
3,74,123,132
3,75,-154,123
3,76,-124,153
3,77,-123,161
3,78,-161,123
3,79,130,137
3,80,131,140
3,81,-162,131
3,82,-132,161
3,83,-131,169
3,84,-169,131
3,85,138,145
3,86,139,148
3,87,-170,139
3,88,-140,169
3,89,-139,177
3,90,-177,139
3,91,-178,147
3,92,-148,177
3,93,-147,185
3,94,-185,147
3,95,154,161
3,96,155,164
3,97,162,169
3,98,163,172
3,99,170,177
3,100,171,180
3,101,178,185
3,102,179,188
4,1,4,9
4,2,3,42
4,3,10,17
4,4,11,20
4,5,-11,49
4,6,-49,11
4,7,18,25
4,8,19,28
4,9,-50,19
4,10,-20,49
4,11,-19,57
4,12,-57,19
4,13,26,33
4,14,27,36
4,15,-58,27
4,16,-28,57
4,17,-27,65
4,18,-65,27
4,19,34,41
4,20,35,44
4,21,-66,35
4,22,-36,65
4,23,-35,73
4,24,-73,35
4,25,-74,43
4,26,-44,73
4,27,50,57
4,28,51,60
4,29,-82,51
4,30,-52,81
4,31,-51,89
4,32,-89,51
4,33,58,65
4,34,59,68
4,35,-90,59
4,36,-60,89
4,37,-59,97
4,38,-97,59
4,39,66,73
4,40,67,76
4,41,-98,67
4,42,-68,97
4,43,-67,105
4,44,-105,67
4,45,-106,75
4,46,-76,105
4,47,-75,113
4,48,-113,75
4,49,82,89
4,50,83,92
4,51,-83,121
4,52,-121,83
4,53,90,97
4,54,91,100
4,55,-122,91
4,56,-92,121
4,57,-91,129
4,58,-129,91
4,59,98,105
4,60,99,108
4,61,-130,99
4,62,-100,129
4,63,-99,137
4,64,-137,99
4,65,106,113
4,66,107,116
4,67,-138,107
4,68,-108,137
4,69,-107,145
4,70,-145,107
4,71,-146,115
4,72,-116,145
4,73,122,129
4,74,123,132
4,75,-154,123
4,76,-124,153
4,77,-123,161
4,78,-161,123
4,79,130,137
4,80,131,140
4,81,-162,131
4,82,-132,161
4,83,-131,169
4,84,-169,131
4,85,138,145
4,86,139,148
4,87,-170,139
4,88,-140,169
4,89,-139,177
4,90,-177,139
4,91,-178,147
4,92,-148,177
4,93,-147,185
4,94,-185,147
4,95,154,161
4,96,155,164
4,97,162,169
4,98,163,172
4,99,170,177
4,100,171,180
4,101,178,185
4,102,179,188
5,1,4,9
5,2,3,42
5,3,10,17
5,4,11,20
5,5,-11,49
5,6,-49,11
5,7,18,25
5,8,19,28
5,9,-50,19
5,10,-20,49
5,11,-19,57
5,12,-57,19
5,13,26,33
5,14,27,36
5,15,-58,27
5,16,-28,57
5,17,-27,65
5,18,-65,27
5,19,34,41
5,20,35,44
5,21,-66,35
5,22,-36,65
5,23,-35,73
5,24,-73,35
5,25,-74,43
5,26,-44,73
5,27,50,57
5,28,51,60
5,29,-82,51
5,30,-52,81
5,31,-51,89
5,32,-89,51
5,33,58,65
5,34,59,68
5,35,-90,59
5,36,-60,89
5,37,-59,97
5,38,-97,59
5,39,66,73
5,40,67,76
5,41,-98,67
5,42,-68,97
5,43,-67,105
5,44,-105,67
5,45,-106,75
5,46,-76,105
5,47,-75,113
5,48,-113,75
5,49,82,89
5,50,83,92
5,51,-83,121
5,52,-121,83
5,53,90,97
5,54,91,100
5,55,-122,91
5,56,-92,121
5,57,-91,129
5,58,-129,91
5,59,98,105
5,60,99,108
5,61,-130,99
5,62,-100,129
5,63,-99,137
5,64,-137,99
5,65,106,113
5,66,107,116
5,67,-138,107
5,68,-108,137
5,69,-107,145
5,70,-145,107
5,71,-146,115
5,72,-116,145
5,73,122,129
5,74,123,132
5,75,-154,123
5,76,-124,153
5,77,-123,161
5,78,-161,123
5,79,130,137
5,80,131,140
5,81,-162,131
5,82,-132,161
5,83,-131,169
5,84,-169,131
5,85,138,145
5,86,139,148
5,87,-170,139
5,88,-140,169
5,89,-139,177
5,90,-177,139
5,91,-178,147
5,92,-148,177
5,93,-147,185
5,94,-185,147
5,95,154,161
5,96,155,164
5,97,162,169
5,98,163,172
5,99,170,177
5,100,171,180
5,101,178,185
5,102,179,188
6,1,-9,4
6,2,-42,2
6,3,10,17
6,4,11,20
6,5,-11,49
6,6,18,25
6,7,19,28
6,8,-50,19
6,9,-20,49
6,10,-19,57
6,11,-57,19
6,12,26,33
6,13,27,36
6,14,-58,27
6,15,-28,57
6,16,-27,65
6,17,-65,27
6,18,34,41
6,19,35,44
6,20,-66,35
6,21,-36,65
6,22,-35,73
6,23,-73,35
6,24,-44,73
6,25,50,57
6,26,51,60
6,27,-82,51
6,28,-52,81
6,29,-51,89
6,30,-89,51
6,31,58,65
6,32,59,68
6,33,-90,59
6,34,-60,89
6,35,-59,97
6,36,-97,59
6,37,66,73
6,38,67,76
6,39,-98,67
6,40,-68,97
6,41,-67,105
6,42,-105,67
6,43,-106,75
6,44,-76,105
6,45,-75,113
6,46,-113,75
6,47,82,89
6,48,83,92
6,49,-83,121
6,50,-121,83
6,51,90,97
6,52,91,100
6,53,-122,91
6,54,-92,121
6,55,-91,129
6,56,-129,91
6,57,98,105
6,58,99,108
6,59,-130,99
6,60,-100,129
6,61,-99,137
6,62,-137,99
6,63,106,113
6,64,107,116
6,65,-138,107
6,66,-108,137
6,67,-107,145
6,68,-145,107
6,69,-146,115
6,70,-116,145
6,71,122,129
6,72,123,132
6,73,-154,123
6,74,-124,153
6,75,-123,161
6,76,-161,123
6,77,130,137
6,78,131,140
6,79,-162,131
6,80,-132,161
6,81,-131,169
6,82,-169,131
6,83,138,145
6,84,139,148
6,85,-170,139
6,86,-140,169
6,87,-139,177
6,88,-177,139
6,89,-178,147
6,90,-148,177
6,91,-147,185
6,92,-185,147
6,93,154,161
6,94,155,164
6,95,162,169
6,96,163,172
6,97,170,177
6,98,171,180
6,99,178,185
6,100,179,188
7,1,-9,4
7,2,-42,2
7,3,10,17
7,4,11,20
7,5,-11,49
7,6,18,25
7,7,19,28
7,8,-50,19
7,9,-20,49
7,10,-19,57
7,11,-57,19
7,12,26,33
7,13,27,36
7,14,-58,27
7,15,-28,57
7,16,-27,65
7,17,-65,27
7,18,34,41
7,19,35,44
7,20,-66,35
7,21,-36,65
7,22,-35,73
7,23,-73,35
7,24,-44,73
7,25,50,57
7,26,51,60
7,27,-82,51
7,28,-52,81
7,29,-51,89
7,30,-89,51
7,31,58,65
7,32,59,68
7,33,-90,59
7,34,-60,89
7,35,-59,97
7,36,-97,59
7,37,66,73
7,38,67,76
7,39,-98,67
7,40,-68,97
7,41,-67,105
7,42,-105,67
7,43,-106,75
7,44,-76,105
7,45,-75,113
7,46,-113,75
7,47,82,89
7,48,83,92
7,49,-83,121
7,50,-121,83
7,51,90,97
7,52,91,100
7,53,-122,91
7,54,-92,121
7,55,-91,129
7,56,-129,91
7,57,98,105
7,58,99,108
7,59,-130,99
7,60,-100,129
7,61,-99,137
7,62,-137,99
7,63,106,113
7,64,107,116
7,65,-138,107
7,66,-108,137
7,67,-107,145
7,68,-145,107
7,69,-146,115
7,70,-116,145
7,71,122,129
7,72,123,132
7,73,-154,123
7,74,-124,153
7,75,-123,161
7,76,-161,123
7,77,130,137
7,78,131,140
7,79,-162,131
7,80,-132,161
7,81,-131,169
7,82,-169,131
7,83,138,145
7,84,139,148
7,85,-170,139
7,86,-140,169
7,87,-139,177
7,88,-177,139
7,89,-178,147
7,90,-148,177
7,91,-147,185
7,92,-185,147
7,93,154,161
7,94,155,164
7,95,162,169
7,96,163,172
7,97,170,177
7,98,171,180
7,99,178,185
7,100,179,188
8,1,-9,4
8,2,-42,2
8,3,10,17
8,4,11,20
8,5,-11,49
8,6,18,25
8,7,19,28
8,8,-50,19
8,9,-20,49
8,10,-19,57
8,11,-57,19
8,12,26,33
8,13,27,36
8,14,-58,27
8,15,-28,57
8,16,-27,65
8,17,-65,27
8,18,34,41
8,19,35,44
8,20,-66,35
8,21,-36,65
8,22,-35,73
8,23,-73,35
8,24,-44,73
