step,contact,mtype,p1,p2,p3,m4,m5,m6,m0_0,m0_2,o2,o3,o4,o5
1,1,0,10,4,3,0,9,0,2,2,0.1999999999937,1.0013783030478139e-307,1.780190822708324e-306,0.99999999998425004
1,2,0,9,4,3,4,10,9,2,2,0,0,0,0.99999999998425004
1,3,0,17,4,3,18,0,0,2,2,0.1999999999937,0,0,0.99999999998425004
1,4,0,18,4,3,0,17,0,2,2,0.39999999998739999,1.0013808487692646e-307,1.9582211764281057e-306,0.99999999998425004
1,5,0,25,4,3,26,0,0,2,2,0.39999999998739999,7.5660116542352431e-307,1.6912041649019805e-306,0.99999999998425004
1,6,0,26,4,3,0,25,0,2,2,0.59999999998109999,8.9009541130235433e-307,1.6911905830720653e-306,0.99999999998425004
1,7,0,33,4,3,34,0,0,2,2,0.59999999998109999,1.6911240373669469e-306,1.6911905830720447e-306,0.99999999998425004
1,8,0,34,4,3,0,33,0,2,2,0.79999999997479998,9.3460979024835392e-307,1.6911905830720643e-306,0.99999999998425004
1,9,0,41,4,3,42,0,0,2,2,0.79999999997479998,0,0,0.99999999998425004
1,10,0,3,42,41,42,4,3,2,2,0,1.780190822708324e-306,1.6911905830720447e-306,1.0000000003937499
1,11,0,10,17,20,17,11,10,2,2,0,0,0,0.49999999921249993
1,12,0,20,11,10,11,17,20,2,2,0,7.5660388151597048e-307,8.344515035945973e-308,0.49999999921249993
1,13,0,11,50,49,12,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,14,0,49,12,11,50,0,0,2,2,0.49999999960624997,1.0013740591468898e-307,1.9582211764281057e-306,0.50000000059062499
1,15,0,18,25,28,25,19,18,2,2,0,0,0,0.49999999921249993
1,16,0,28,19,18,19,25,28,2,2,0,0,0,0.49999999921249993
1,17,0,50,20,19,0,49,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,18,0,20,50,49,0,19,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,19,0,19,58,57,20,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,20,0,57,20,19,58,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,21,0,26,33,36,33,27,26,2,2,0,0,0,0.49999999921249993
1,22,0,36,27,26,27,33,36,2,2,0,0,0,0.49999999921249993
1,23,0,58,28,27,0,57,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,24,0,28,58,57,0,27,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,25,0,27,66,65,28,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
