step,d0,h1,h5,f1,f0,w0,hh,g0
1,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
2,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
3,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
4,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
5,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
6,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
7,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
8,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
9,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
10,0.078750000000000014,3,0.29999999999999999,0.0001,9.9999999999999995e-08,3.1500000000000004,200,200
