step,contact,jj,block_i,block_j,mtype,q01,q02,b1,cs1,cs2,cs3,x1,y1,x2,y2,x3,y3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,o3,o4,o5,m0_0,m0_1,m0_2,k5,fric_ang,cohesion
1,1,0,2,1,0,1,1,10,-0,6.3000049621564358e-11,0.1999999999937,2,1,0,1,10,1,0,1,1,0,-0.5,0.5,0,-1,3,0,-0.5,1.5,1,0,0.5,1,0,-0.25,-1,0,0.5,3.0000000001260005,0,-0.25,1,0,-0.5,-3.0000000000629994,0,0.25,1.0013783030478139e-307,1.780190822708324e-306,0.99999999998425004,2,0,2,0,30,0
1,2,0,2,1,0,1,1,10,0,0,0,0,1,0,1,10,1,0,1,-1,0,-0.5,-0.5,0,-1,5,0,-0.5,2.5,1,0,0.5,-1,0,-0.25,-1,0,0.5,5,0,-0.25,1,0,-0.5,-5,0,0.25,0,0,0.99999999998425004,2,0,2,0,30,0
1,3,0,3,1,0,1,1,10,-0,6.3000049621564358e-11,0.1999999999937,2,1,0,1,10,1,0,1,-1,0,-0.5,-0.5,0,-1,3,0,-0.5,1.5,1,0,0.5,-1,0,-0.25,-1,0,0.5,3.0000000001260005,0,-0.25,1,0,-0.5,-3.0000000000629994,0,0.25,0,0,0.99999999998425004,2,0,2,0,30,0
1,4,0,3,1,0,1,1,10,-0,1.2600009924312872e-10,0.39999999998739999,4,1,0,1,10,1,0,1,1,0,-0.5,0.5,0,-1,1,0,-0.5,0.5,1,0,0.5,1,0,-0.25,-1,0,0.5,1.0000000002520004,0,-0.25,1,0,-0.5,-1.0000000001259999,0,0.25,1.0013808487692646e-307,1.9582211764281057e-306,0.99999999998425004,2,0,2,0,30,0
1,5,0,4,1,0,1,1,10,-0,1.2600009924312872e-10,0.39999999998739999,4,1,0,1,10,1,0,1,-1,0,-0.5,-0.5,0,-1,1,0,-0.5,0.5,1,0,0.5,-1,0,-0.25,-1,0,0.5,1.0000000002520004,0,-0.25,1,0,-0.5,-1.0000000001259999,0,0.25,7.5660116542352431e-307,1.6912041649019805e-306,0.99999999998425004,2,0,2,0,30,0
1,6,0,4,1,0,1,1,10,-0,1.8899992682008815e-10,0.59999999998109999,6,1,0,1,10,1,0,1,1,0,-0.5,0.5,0,-1,-1,0,-0.5,-0.5,1,0,0.5,1,0,-0.25,-1,0,0.5,-0.99999999962199981,0,-0.25,1,0,-0.5,0.99999999981099985,0,0.25,8.9009541130235433e-307,1.6911905830720653e-306,0.99999999998425004,2,0,2,0,30,0
1,7,0,5,1,0,1,1,10,-0,1.8899992682008815e-10,0.59999999998109999,6,1,0,1,10,1,0,1,-1,0,-0.5,-0.5,0,-1,-1,0,-0.5,-0.5,1,0,0.5,-1,0,-0.25,-1,0,0.5,-0.99999999962199981,0,-0.25,1,0,-0.5,0.99999999981099985,0,0.25,1.6911240373669469e-306,1.6911905830720447e-306,0.99999999998425004,2,0,2,0,30,0
1,8,0,5,1,0,1,1,10,-0,2.5200019848625743e-10,0.79999999997479998,8,1,0,1,10,1,0,1,1,0,-0.5,0.5,0,-1,-3,0,-0.5,-1.5,1,0,0.5,1,0,-0.25,-1,0,0.5,-2.9999999994959992,0,-0.25,1,0,-0.5,2.9999999997479998,0,0.25,9.3460979024835392e-307,1.6911905830720643e-306,0.99999999998425004,2,0,2,0,30,0
1,9,0,6,1,0,1,1,10,-0,2.5200019848625743e-10,0.79999999997479998,8,1,0,1,10,1,0,1,-1.0000000000000018,0,-0.5,-0.50000000000000089,0,-1,-3,0,-0.5,-1.5,1,0,0.5,-1.0000000000000018,0,-0.25,-1,0,0.5,-2.9999999994959992,0,-0.25,1,0,-0.5,2.9999999997479998,0,0.25,0,0,0.99999999998425004,2,0,2,0,30,0
1,10,0,1,6,0,1,1,2,0,0,0,10,1,10,1,8,1,0,-1,-5,0,-0.5,-2.5,0,1,0.99999999999999822,0,-0.5,0.49999999999999911,-1,0,0.5,-5,0,-0.25,1,0,0.5,0.99999999999999822,0,-0.25,-1,0,-0.5,-0.99999999999999822,-0,0.25,1.780190822708324e-306,1.6911905830720447e-306,1.0000000003937499,2,0,2,0,30,0
