step,oc_iter,contact,mtype,m0_0,m0_prev,m0_new,o3,o4,t3,w0
1,0,1,0,2,2,2,-0.032587573161034458,-0.00059345042559634054,0,3.1500000000000004
1,0,2,0,2,2,2,-0.029760671353055723,-0.00090458555339513155,0,3.1500000000000004
1,0,3,0,2,2,2,-0.032676122149726927,-0.00026543432834112848,0,3.1500000000000004
1,0,4,0,2,2,2,-0.032921304862060498,9.0053646743846696e-05,0,3.1500000000000004
1,0,5,0,2,2,2,-0.032851351464739206,-0.00017524862435952849,0,3.1500000000000004
1,0,6,0,2,2,2,-0.032851351585359026,0.00017524915194056778,0,3.1500000000000004
1,0,7,0,2,2,2,-0.032921304742354066,-9.0053138040000234e-05,0,3.1500000000000004
1,0,8,0,2,2,2,-0.03267612229908505,0.00026543483000663731,0,3.1500000000000004
1,0,9,0,2,2,2,-0.032587573145465565,0.00059345088082875784,0,3.1500000000000004
1,0,10,0,2,2,2,-0.029760671536166256,0.00090458567784864339,0,3.1500000000000004
1,0,11,0,2,2,0,0.00032801609725521211,0,0,3.1500000000000004
1,0,12,0,2,2,2,-0.00086188834488576177,0.00021942628987148272,0,3.1500000000000004
1,0,13,0,2,2,2,-0.0062037672684607179,-0.00073880907460358806,0,3.1500000000000004
1,0,14,0,2,2,2,-0.0074494676411179725,-0.00064453536123289647,0,3.1500000000000004
1,0,15,0,2,2,2,-0.00026530227110337513,-6.9953397321291522e-05,0,3.1500000000000004
1,0,16,0,2,2,2,-0.00040807592872450771,-6.8853640799108884e-05,0,3.1500000000000004
1,0,17,0,2,2,2,-0.0060295001537545578,6.6291335996140008e-06,0,3.1500000000000004
1,0,18,0,2,2,2,-0.0059843409785892351,0.00012307927028217376,0,3.1500000000000004
1,0,19,0,2,2,2,-0.0059216637892574725,-0.00021973026466966041,0,3.1500000000000004
1,0,20,0,2,2,2,-0.0060289351246797657,-9.6229441169826463e-05,0,3.1500000000000004
1,0,21,0,2,2,2,-0.00026530228998056802,6.9953156995046506e-05,0,3.1500000000000004
1,0,22,0,2,2,2,-0.00040807593698064025,6.8853400195141579e-05,0,3.1500000000000004
1,0,23,0,2,2,2,-0.0060058373904911672,6.7339940332439559e-05,0,3.1500000000000004
1,0,24,0,2,2,2,-0.0059905174300565814,0.00018834566405484727,0,3.1500000000000004
1,0,25,0,2,2,2,-0.0059905173117032959,-0.00018834458890553906,0,3.1500000000000004
1,0,26,0,2,2,2,-0.0060058371803621002,-6.7338864333101183e-05,0,3.1500000000000004
