step,block,storage_row
1,1,16
1,2,8
1,3,12
1,4,15
1,5,9
1,6,3
1,7,23
1,8,24
1,9,19
1,10,20
1,11,4
1,12,17
1,13,21
1,14,13
1,15,5
1,16,10
1,17,14
1,18,18
1,19,11
1,20,1
1,21,6
1,22,22
1,23,7
1,24,2
2,1,1
2,2,15
2,3,12
2,4,14
2,5,9
2,6,4
2,7,21
2,8,17
2,9,19
2,10,23
2,11,5
2,12,24
2,13,20
2,14,13
2,15,6
2,16,10
2,17,16
2,18,18
2,19,11
2,20,2
2,21,7
2,22,22
2,23,8
2,24,3
3,1,1
3,2,15
3,3,12
3,4,14
3,5,9
3,6,4
3,7,21
3,8,17
3,9,19
3,10,23
3,11,5
3,12,24
3,13,20
3,14,13
3,15,6
3,16,10
3,17,16
3,18,18
3,19,11
3,20,2
3,21,7
3,22,22
3,23,8
3,24,3
4,1,1
4,2,15
4,3,12
4,4,14
4,5,9
4,6,4
4,7,21
4,8,17
4,9,19
4,10,23
4,11,5
4,12,24
4,13,20
4,14,13
4,15,6
4,16,10
4,17,16
4,18,18
4,19,11
4,20,2
4,21,7
4,22,22
4,23,8
4,24,3
5,1,1
5,2,15
5,3,12
5,4,14
5,5,9
5,6,4
5,7,21
5,8,17
5,9,19
5,10,23
5,11,5
5,12,24
5,13,20
5,14,13
5,15,6
5,16,10
5,17,16
5,18,18
5,19,11
5,20,2
5,21,7
5,22,22
5,23,8
5,24,3
6,1,1
6,2,2
6,3,6
6,4,14
6,5,11
6,6,3
6,7,24
6,8,15
6,9,21
6,10,23
6,11,7
6,12,20
6,13,19
6,14,17
6,15,8
6,16,12
6,17,16
6,18,18
6,19,13
6,20,4
6,21,9
6,22,22
6,23,10
6,24,5
7,1,1
7,2,2
7,3,6
7,4,14
7,5,11
7,6,3
7,7,24
7,8,15
7,9,21
7,10,23
7,11,7
7,12,20
7,13,19
7,14,17
7,15,8
7,16,12
7,17,16
7,18,18
7,19,13
7,20,4
7,21,9
7,22,22
7,23,10
7,24,5
8,1,1
8,2,2
8,3,6
8,4,14
8,5,11
8,6,3
8,7,24
8,8,15
8,9,21
8,10,23
8,11,7
8,12,20
8,13,19
8,14,17
8,15,8
8,16,12
8,17,16
8,18,18
8,19,13
8,20,4
8,21,9
8,22,22
8,23,10
8,24,5
9,1,1
9,2,2
9,3,6
9,4,14
9,5,11
9,6,3
9,7,24
9,8,15
9,9,21
9,10,23
9,11,7
9,12,20
9,13,19
9,14,17
9,15,8
9,16,12
9,17,16
9,18,18
9,19,13
9,20,4
9,21,9
9,22,22
9,23,10
9,24,5
10,1,1
10,2,2
10,3,6
10,4,14
10,5,11
10,6,3
10,7,24
10,8,15
10,9,21
10,10,23
10,11,7
10,12,20
10,13,19
10,14,17
10,15,8
10,16,12
10,17,16
10,18,18
10,19,13
10,20,4
10,21,9
10,22,22
10,23,10
10,24,5
