step,block,vidx,x,y
1,1,0,0,1
1,1,1,0,0
1,1,2,10,0
1,1,3,10,1
1,1,4,0,1
1,1,5,0,0
1,2,8,0,2
1,2,9,0,1
1,2,10,2,1
1,2,11,2,2
1,2,12,0,2
1,2,13,0,1
1,3,16,2,2
1,3,17,2,1
1,3,18,4,1
1,3,19,4,2
1,3,20,2,2
1,3,21,2,1
1,4,24,4,2
1,4,25,4,1
1,4,26,6,1
1,4,27,6,2
1,4,28,4,2
1,4,29,4,1
1,5,32,6,2
1,5,33,6,1
1,5,34,8,1
1,5,35,8,2
1,5,36,6,2
1,5,37,6,1
1,6,40,8,2
1,6,41,8,1
1,6,42,10,1
1,6,43,10,2
1,6,44,8,2
1,6,45,8,1
1,7,48,1,3
1,7,49,1,2
1,7,50,3,2
1,7,51,3,3
1,7,52,1,3
1,7,53,1,2
1,8,56,3,3
1,8,57,3,2
1,8,58,5,2
1,8,59,5,3
1,8,60,3,3
1,8,61,3,2
1,9,64,5,3
1,9,65,5,2
1,9,66,7,2
1,9,67,7,3
1,9,68,5,3
1,9,69,5,2
1,10,72,7,3
1,10,73,7,2
1,10,74,9,2
1,10,75,9,3
1,10,76,7,3
1,10,77,7,2
1,11,80,0,4
1,11,81,0,3
1,11,82,2,3
1,11,83,2,4
1,11,84,0,4
1,11,85,0,3
1,12,88,2,4
1,12,89,2,3
1,12,90,4,3
1,12,91,4,4
1,12,92,2,4
1,12,93,2,3
1,13,96,4,4
1,13,97,4,3
1,13,98,6,3
1,13,99,6,4
1,13,100,4,4
1,13,101,4,3
1,14,104,6,4
1,14,105,6,3
1,14,106,8,3
1,14,107,8,4
1,14,108,6,4
1,14,109,6,3
1,15,112,8,4
1,15,113,8,3
1,15,114,10,3
1,15,115,10,4
1,15,116,8,4
1,15,117,8,3
1,16,120,1,5
1,16,121,1,4
1,16,122,3,4
1,16,123,3,5
1,16,124,1,5
1,16,125,1,4
1,17,128,3,5
1,17,129,3,4
1,17,130,5,4
1,17,131,5,5
1,17,132,3,5
1,17,133,3,4
1,18,136,5,5
1,18,137,5,4
1,18,138,7,4
1,18,139,7,5
1,18,140,5,5
1,18,141,5,4
1,19,144,7,5
1,19,145,7,4
1,19,146,9,4
1,19,147,9,5
1,19,148,7,5
1,19,149,7,4
1,20,152,0,6
1,20,153,0,5
1,20,154,2,5
1,20,155,2,6
1,20,156,0,6
1,20,157,0,5
