step,iter_step,iter_total,close_points,open_points,rel_max_ds,step_time,total_time,spring_stiffness,wall_clock
1,1,1,0,10,1.586480779,0.1,0.1,200,1789696020
1,-1,2,0,0,1.586832387,0.1,0.1,200,1789696020
2,1,3,0,2,1.256663125,0.07938427304,0.179384273,200,1789696020
2,2,4,0,2,1.284348899,0.07938427304,0.179384273,200,1789696020
2,-1,5,0,0,1.284285524,0.07938427304,0.179384273,200,1789696020
3,1,6,0,2,1.574499502,0.08824075315,0.2676250262,200,1789696020
3,-1,7,0,0,1.574432485,0.08824075315,0.2676250262,200,1789696020
4,1,8,0,2,1.2788274,0.07969626695,0.3473212931,200,1789696020
4,-1,9,0,0,1.278230798,0.07969626695,0.3473212931,200,1789696020
5,1,10,0,2,1.562769101,0.08844949575,0.4357707889,200,1789696020
5,2,11,0,2,1.563206747,0.08844949575,0.4357707889,200,1789696020
5,-1,12,0,0,1.5631574,0.08844949575,0.4357707889,200,1789696020
6,1,13,0,2,1.179132001,0.07998317588,0.5157539648,200,1789696020
6,-1,14,0,0,1.178821568,0.07998317588,0.5157539648,200,1789696020
7,1,15,4,2,1.447305968,0.09210346382,0.6078574286,200,1789696020
7,-1,16,0,0,1.444356087,0.09210346382,0.6078574286,200,1789696020
8,1,17,0,3,1.149224569,0.08320757439,0.691065003,200,1789696020
8,-1,18,0,0,1.149209034,0.08320757439,0.691065003,200,1789696020
9,1,19,2,7,1.431598102,0.09328256605,0.784347569,200,1789696020
9,-1,20,0,0,1.432004033,0.09328256605,0.784347569,200,1789696020
10,1,21,0,6,1.143208605,0.08356566612,0.8679132352,200,1789696020
10,-1,22,0,0,1.143209595,0.08356566612,0.8679132352,200,1789696020
11,1,23,0,2,1.424794891,0.09352701412,0.9614402493,200,1789696020
11,-1,24,0,0,1.424781277,0.09352701412,0.9614402493,200,1789696020
12,-1,25,0,0,1.139381563,0.08377721138,1.045217461,200,1789696020
13,1,26,0,7,1.420207687,0.09368399585,1.138901456,200,1789696020
13,2,27,0,1,1.420289229,0.09368399585,1.138901456,200,1789696020
13,-1,28,0,0,1.420292632,0.09368399585,1.138901456,200,1789696020
14,1,29,0,2,1.136879679,0.08390949029,1.222810947,200,1789696020
14,-1,30,0,0,1.136929526,0.08390949029,1.222810947,200,1789696020
15,-1,31,0,0,1.41701772,0.09378496647,1.316595913,200,1789696020
16,1,32,0,1,1.135137341,0.0840063972,1.40060231,200,1789696020
16,-1,33,0,0,1.135184135,0.0840063972,1.40060231,200,1789696020
17,1,34,0,3,1.414591911,0.09385703783,1.494459348,200,1789696020
17,-1,35,0,0,1.414660537,0.09385703783,1.494459348,200,1789696020
18,-1,36,0,0,1.132635913,0.08407635603,1.578535704,200,1789696020
19,-1,37,0,0,1.411839932,0.09396255901,1.672498263,200,1789696020
20,-1,38,0,0,1.131220779,0.08416029893,1.756658562,200,1789696020
