step,oc_iter,contact,mtype,m0_0,m0_prev,m0_new,o3,o4,t3,w0
1,0,1,0,2,2,1,-0.00062221536922891076,0.001732967613919504,0,3.1500000000000004
1,0,2,0,2,2,1,-0.00066130530378501163,0.0017184265154762601,0,3.1500000000000004
1,0,3,0,2,2,1,-0.00044996000238795546,0.0015762569344901197,0,3.1500000000000004
1,0,4,0,2,2,2,-0.0026205404722043522,0.0025947695354939892,1493.1121245363656,3.1500000000000004
1,0,5,0,2,2,2,-0.00014538577634754313,-0.0009801236549266117,1493.1121245363656,3.1500000000000004
1,0,6,0,2,2,1,-0.0022988685268404466,0.0035239238970995366,0,3.1500000000000004
1,0,7,0,2,2,1,-0.0010319587766064434,0.0019283651441559923,0,3.1500000000000004
1,0,8,0,2,2,1,-0.0018191713736103099,0.001214130632651082,0,3.1500000000000004
1,0,9,0,2,2,1,-0.0010973938753653153,0.00095084772258207306,0,3.1500000000000004
1,0,10,0,0,2,2,-0.0014230426490785678,0.00028864820709797551,0,3.1500000000000004
1,0,11,0,2,2,1,-0.0010796776433152099,0.0029868786091464018,0,3.1500000000000004
1,0,12,0,2,2,1,-0.00056032401429855448,0.00056550695584278612,0,3.1500000000000004
1,0,13,0,2,2,1,-0.00063182825713178035,0.0012211418287261017,0,3.1500000000000004
1,0,14,0,2,2,1,-0.0006967642438798047,0.0011852890336848036,0,3.1500000000000004
1,0,15,0,2,2,2,-0.0012374974674383961,-2.865864287695577e-05,1048.8857807868071,3.1500000000000004
1,0,16,0,2,2,2,-0.0025281404267048072,-0.0005738687590193355,1048.8857807868071,3.1500000000000004
1,0,17,0,2,2,0,0.0011856575285390956,0,0,3.1500000000000004
1,0,18,0,2,2,2,-0.00074304434463461154,0.00029373675166860432,0,3.1500000000000004
1,0,19,0,2,2,2,-0.00074950643250603147,0.00027682820906583784,0,3.1500000000000004
1,0,20,0,2,2,0,0.00044754787961850278,0,0,3.1500000000000004
1,0,21,0,2,2,0,1.1815654785927765e-05,0,0,3.1500000000000004
1,0,22,0,2,2,1,-0.00073141010119136653,0.0006726225576763554,0,3.1500000000000004
1,0,23,0,2,2,1,-0.0015826683515488395,0.0026369481579061106,0,3.1500000000000004
1,0,24,0,2,2,1,-0.00028092669540233221,0.0018924025975430286,0,3.1500000000000004
1,0,25,0,2,2,1,-0.0022739501415522281,0.0032654879227506871,0,3.1500000000000004
1,0,26,0,2,2,2,-0.0039815239597357568,0.0023901819710767493,1127.8773345612544,3.1500000000000004
1,0,27,0,2,2,2,-0.0010624301596897884,0.00094172859384823065,1127.8773345612544,3.1500000000000004
1,0,28,0,2,2,2,-0.00077487155218433656,0.0012188351790822646,517.80864545384884,3.1500000000000004
1,0,29,0,2,2,2,0.00083559724057906664,0.00052941354528668945,517.80864545384884,3.1500000000000004
1,0,30,0,2,2,1,-5.018787607974503e-05,0.00045304734484496751,0,3.1500000000000004
1,0,31,0,2,2,1,-0.00015612892787620692,0.00035371884952658888,0,3.1500000000000004
1,0,32,0,2,2,1,-0.0016627552397110487,0.0021345659431303687,0,3.1500000000000004
1,0,33,0,2,2,1,-0.0016699233124978703,0.0021910209253096554,0,3.1500000000000004
1,0,34,0,2,2,2,-0.0019148171457352414,0.0011846887646379969,705.59046016262164,3.1500000000000004
1,0,35,0,2,2,2,-0.00052117228947238191,0.00037844724244505488,705.59046016262164,3.1500000000000004
1,0,36,0,2,2,2,-0.0032162165593961488,0.0011961266084618593,1473.7505705609583,3.1500000000000004
1,0,37,0,2,2,2,-0.0058798327149728871,0.0024260385910266531,1473.7505705609583,3.1500000000000004
1,0,38,0,2,2,0,0.00016915159098858352,0,0,3.1500000000000004
1,0,39,0,0,2,2,-0.00057188777126010275,-0.00016989517133970196,0,3.1500000000000004
1,0,40,0,2,2,1,-0.0004145222864786139,-0.00042906202548147611,0,3.1500000000000004
1,0,41,0,2,2,1,-9.5844708658652199e-05,5.7061055336519412e-05,0,3.1500000000000004
1,0,42,0,2,2,0,1.591013664603593e-06,0,0,3.1500000000000004
1,0,43,0,2,2,2,-0.0019546528476384766,0.0018608361170099252,718.39673040441244,3.1500000000000004
1,0,44,0,2,2,2,-0.00065876414875846935,0.0011210836011908119,718.39673040441244,3.1500000000000004
1,0,45,0,2,2,1,-0.00082229416609321275,0.0026674847868564948,0,3.1500000000000004
1,0,46,0,2,2,1,-0.0019997695591567658,0.001947412204200608,0,3.1500000000000004
1,0,47,1,0,3,3,-0.00061197631426210665,0,0,3.1500000000000004
1,0,48,0,2,2,1,-0.0010290933412430518,0.0010666990595104033,0,3.1500000000000004
1,0,49,0,2,2,1,-0.0012579216884356832,0.00078390459924247908,0,3.1500000000000004
1,0,50,0,2,2,1,-0.0020529582879071084,0.0012876454433628907,0,3.1500000000000004
1,0,51,0,2,2,1,-0.00015176101530867047,-0.00086510721708858707,0,3.1500000000000004
1,0,52,0,2,2,1,-0.0023034916848912916,0.0025304139224671695,0,3.1500000000000004
1,0,53,0,2,2,1,-7.5977774661458849e-05,4.7317764217790986e-05,0,3.1500000000000004
1,0,54,0,2,2,1,-0.00098406999532296919,0.001255412804963106,0,3.1500000000000004
1,1,1,0,2,1,1,-0.00060976508584381325,0.0032984335056826112,0,3.1500000000000004
1,1,2,0,2,1,1,-0.00068431413805816602,0.0032837728229469171,0,3.1500000000000004
1,1,3,0,2,1,1,-0.00041551240657192125,0.0028074615542666484,0,3.1500000000000004
1,1,4,0,2,2,2,-0.0031567702507043658,0.0040459733800796462,1493.1121245363656,3.1500000000000004
1,1,5,0,2,2,2,-0.00093315247442163492,0.00057485123607074382,1493.1121245363656,3.1500000000000004
1,1,6,0,2,1,1,-0.002673657530377817,0.0076597795116245841,0,3.1500000000000004
1,1,7,0,2,1,1,-5.3651992248860542e-05,0.0038065127284983582,0,3.1500000000000004
1,1,8,0,2,1,1,-0.0018418112439224485,0.003331678731218164,0,3.1500000000000004
1,1,9,0,2,1,1,-0.00031585009430395284,0.0023518361415316501,0,3.1500000000000004
1,1,10,0,0,2,1,-0.0014310525753061772,0.0018928660880892733,0,3.1500000000000004
1,1,11,0,2,1,1,-0.0008505118657877403,0.012069276710370183,0,3.1500000000000004
1,1,12,0,2,1,1,-0.0007353984182228117,0.0077182961620573592,0,3.1500000000000004
1,1,13,0,2,1,1,-0.0004330461779974483,0.0088441221279001621,0,3.1500000000000004
1,1,14,0,2,1,1,-0.00090937478809388855,0.0088078961780233989,0,3.1500000000000004
1,1,15,0,2,2,2,-0.0017811751917813875,0.00083504903465390912,1048.8857807868071,3.1500000000000004
1,1,16,0,2,2,2,-0.0024362490763411419,-0.00011038170640417586,1048.8857807868071,3.1500000000000004
1,1,17,0,2,0,0,0.00087703642629962004,0,0,3.1500000000000004
1,1,18,0,2,2,1,-0.00071734061735349755,0.00089630959861508673,0,3.1500000000000004
1,1,19,0,2,2,1,-0.00073745685059035102,0.00087982864472861591,0,3.1500000000000004
1,1,20,0,2,0,0,4.8961431593648738e-06,0,0,3.1500000000000004
1,1,21,0,2,0,1,-0.00034326230817009203,-0.0026611531467838623,0,3.1500000000000004
1,1,22,0,2,1,1,-0.00058478842114515579,0.0013935485061465811,0,3.1500000000000004
1,1,23,0,2,1,1,-0.0015441371871724584,0.0042005199583975668,0,3.1500000000000004
1,1,24,0,2,1,1,-0.0001099897748190374,0.0041672409133803878,0,3.1500000000000004
1,1,25,0,2,1,1,-0.0019498121410074006,0.0070661377848741198,0,3.1500000000000004
1,1,26,0,2,2,2,-0.0043992359407818383,0.0036254597543134547,1127.8773345612544,3.1500000000000004
1,1,27,0,2,2,2,-0.00068600351796461252,0.00092064414783598768,1127.8773345612544,3.1500000000000004
1,1,28,0,2,2,2,-0.0013681886459562525,0.001977329408308423,517.80864545384884,3.1500000000000004
1,1,29,0,2,2,2,0.00043435711908315622,0.0017472166337365476,517.80864545384884,3.1500000000000004
1,1,30,0,2,1,2,-0.00016335905951702533,-8.6480992051285181e-05,0,3.1500000000000004
1,1,31,0,2,1,1,-0.00017041332894824802,0.00037700843630586288,0,3.1500000000000004
1,1,32,0,2,1,1,-0.0013717585496064682,0.013040596562500225,0,3.1500000000000004
1,1,33,0,2,1,1,-0.0014024961539989224,0.013016135110395906,0,3.1500000000000004
1,1,34,0,2,2,2,-0.0020261187245293175,0.0012762155591801577,705.59046016262164,3.1500000000000004
1,1,35,0,2,2,2,-0.00030909024768726391,0.00017552044853246489,705.59046016262164,3.1500000000000004
1,1,36,0,2,2,2,-0.0014659783235838571,-0.0012693227087750545,1473.7505705609583,3.1500000000000004
1,1,37,0,2,2,2,-0.0083215662684395751,0.0057075979969503504,1473.7505705609583,3.1500000000000004
1,1,38,0,2,0,0,0.00010398573112422772,0,0,3.1500000000000004
1,1,39,0,0,2,1,-0.00036127984396615114,0.0003851566831705478,0,3.1500000000000004
1,1,40,0,2,1,2,-0.00050393596070556746,0.00015783100572771096,0,3.1500000000000004
1,1,41,0,2,1,1,-9.7926026286082778e-05,5.7160638084359881e-05,0,3.1500000000000004
1,1,42,0,2,0,0,-2.6135292354997687e-05,0,0,3.1500000000000004
1,1,43,0,2,2,2,-0.0016888145241889595,0.0022473234533967323,718.39673040441244,3.1500000000000004
1,1,44,0,2,2,2,-0.0018460014449292745,0.0021239307874360244,718.39673040441244,3.1500000000000004
1,1,45,0,2,1,1,-0.00022944304599666307,0.0055041311688517405,0,3.1500000000000004
1,1,46,0,2,1,1,-0.002838445432510901,0.0047213368422915174,0,3.1500000000000004
1,1,47,1,0,3,3,-2.7107567912534863e-05,0,0,3.1500000000000004
1,1,48,0,2,1,1,-0.00090643338610972308,0.0043734217438901463,0,3.1500000000000004
1,1,49,0,2,1,1,-0.0019443994127866491,0.0040209107316442026,0,3.1500000000000004
1,1,50,0,2,1,1,-0.0019212878110713904,0.0052767776456947267,0,3.1500000000000004
1,1,51,0,2,1,2,-0.00012421320759693067,0.0016657281867840114,0,3.1500000000000004
1,1,52,0,2,1,1,-0.0024154335464960873,0.006143081878279273,0,3.1500000000000004
1,1,53,0,2,1,1,-6.2545819643933121e-05,9.2513361789921969e-05,0,3.1500000000000004
1,1,54,0,2,1,1,-0.00089558441691860928,0.001826190108709772,0,3.1500000000000004
1,2,1,0,2,1,1,-0.0006177877091610958,0.0034868733675778997,0,3.1500000000000004
1,2,2,0,2,1,1,-0.00069660264018691655,0.0034719826440290603,0,3.1500000000000004
1,2,3,0,2,1,1,-0.00040425443484757217,0.0029855963675431219,0,3.1500000000000004
1,2,4,0,2,2,2,-0.0032434372291530915,0.0039178997993311515,1493.1121245363656,3.1500000000000004
1,2,5,0,2,2,2,-0.00097237972245142702,0.00071964369995555246,1493.1121245363656,3.1500000000000004
1,2,6,0,2,1,1,-0.0027756002575508604,0.0080794977202908423,0,3.1500000000000004
1,2,7,0,2,1,0,9.9647657638415435e-05,0.0038065127284983582,0,3.1500000000000004
1,2,8,0,2,1,1,-0.0018265195621130961,0.0036282534779126276,0,3.1500000000000004
1,2,9,0,2,1,1,-0.00015852136805469613,0.0025754027799973654,0,3.1500000000000004
1,2,10,0,0,1,1,-0.0014039305189091247,0.0021648932251817177,0,3.1500000000000004
1,2,11,0,2,1,1,-0.00087426890373932609,0.012751762713178259,0,3.1500000000000004
